timestamp,hour,minute,t_seconds,flow_lpm,scenario,rolling_mean,rolling_variance,near_zero_count,sustained_ticks,is_scheduled,hour_sin,hour_cos,alert,alert_type,is_leak,is_anomaly
2026-03-05T17:01:18.387735,0,0,0.0,0.037,idle,0.037,0.0,1,1,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387813,0,0,30.0,0.002,idle,0.0195,0.000306,2,2,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387831,0,1,60.0,0.057,idle,0.032,0.000517,3,3,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387868,0,1,90.0,0.025,idle,0.0302,0.000397,4,4,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387887,0,2,120.0,0.009,idle,0.026,0.00039,5,5,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387895,0,2,150.0,0.067,idle,0.0328,0.000558,6,6,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387904,0,3,180.0,0.0,idle,0.0281,0.00061,7,7,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387911,0,3,210.0,0.0,idle,0.0246,0.000621,8,8,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387919,0,4,240.0,0.004,idle,0.0223,0.000594,9,9,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387926,0,4,270.0,0.026,idle,0.0227,0.000536,10,10,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387934,0,5,300.0,0.018,idle,0.0223,0.000489,11,11,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387946,0,5,330.0,0.055,idle,0.025,0.00053,12,12,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387957,0,6,360.0,0.026,idle,0.0251,0.000489,13,13,False,0.0,1.0,False,NONE,False,False
2026-03-05T17:01:18.387966,0,6,390.0,0.022,idle,0.0249,0.000455,14,14,False,0.0,1.0,False,NONE,False,False
